ID, COMERCIO, PLAN, MONTO, INICIO, FIN, REGISTRO,  ESTADO
6716, cronosQA_0001, Trimestral, $ 1, 2024-06-03, 2024-09-03, 2024-06-03, Cancelada, 
6715, cronosQA_0001, Mensual, $ 1, 2024-06-03, 2024-07-03, 2024-06-03, Cancelada, 
6714, cronosQA_0001, Catorcenal, $ 1, 2024-06-03, 2024-06-17, 2024-06-03, Cancelada, 
6713, cronosQA_0001, Anual, $ 1, 2024-06-03, 2025-06-03, 2024-06-03, Cancelada, 
6712, cronosQA_0001, Quincenal, $ 1, 2024-06-03, 2024-06-18, 2024-06-03, Cancelada, 
6711, cronosQA_0001, Diario, $ 1, 2024-06-03, 2024-06-04, 2024-06-03, Cancelada, 
6710, cronosQA_0001, Quincenal, $ 1, 2024-06-03, 2024-06-18, 2024-06-03, Cancelada, 
6709, cronosQA_0001, Quincenal, $ 1, 2024-06-03, 2024-06-18, 2024-06-03, Cancelada, 
6708, cronosQA_0001, Anual, $ 1, 2024-06-03, 2025-06-03, 2024-06-03, Cancelada, 
6707, cronosQA_0001, Mensual, $ 1, 2024-06-03, 2024-08-03, 2024-06-03, Cancelada, 
